,doc_id,0,X,Y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
18,18,1063,-1.1189042,11.005064,1063,1063,10059,10059,10059,10059,10059,10059,10059,10059,10059,10059,10059,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
19,19,1002,1.927244,4.409622,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,10002,10000
20,20,1003,1.908771,4.339054,1003,1003,1003,1003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10002,10000
21,21,1082,-1.3657169,8.889356,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,10072,10072,10072,10072,10072,10072,10072,10072,10072,10072,10067,10067,10067,10067,10067,10066,10066,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
22,22,1023,-3.1439836,7.563134,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,10019,10017,10015,10012,10004,10002,10000
23,23,1024,1.2211674,10.404858,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
24,24,1064,-0.8813429,11.148261,1064,1064,10059,10059,10059,10059,10059,10059,10059,10059,10059,10059,10059,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
25,25,1023,-3.284252,7.559196,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,10019,10017,10015,10012,10004,10002,10000
26,26,1051,-1.7053112,7.2382803,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
27,27,1079,1.1670774,7.1738143,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,10075,10075,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
28,28,1054,-0.62586504,8.001225,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10049,10049,10048,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
29,29,1079,1.2389532,6.9912267,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,10075,10075,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
30,30,1008,6.1352367,8.864144,1008,1008,1008,1008,1008,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10000
31,31,1079,0.95343137,6.381773,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,10075,10075,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
32,32,1045,-1.4972163,7.855184,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
33,33,1001,4.362971,9.091371,1001,1001,1001,1001,1001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10000
34,34,1056,-0.5812005,6.3507075,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,10050,10050,10050,10048,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
35,35,1003,2.5535576,3.6840742,1003,1003,1003,1003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10002,10000
36,36,1005,2.7823713,3.148501,1005,1005,1005,1005,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10002,10000
37,37,1006,2.362879,3.7312348,10006,10006,10006,10006,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10002,10000
38,38,1003,2.506631,3.7926524,1003,1003,1003,1003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10002,10000
39,39,1024,1.7696877,9.056316,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
40,40,1045,-1.6673224,7.2384562,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
41,41,1085,-1.9320778,7.841995,1085,1085,1085,1085,1085,1085,1085,1085,10081,10081,10081,10081,10081,10081,10081,10072,10072,10072,10072,10072,10072,10072,10072,10072,10072,10067,10067,10067,10067,10067,10066,10066,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
42,42,1085,-1.9527047,8.117113,1085,1085,1085,1085,1085,1085,1085,1085,10081,10081,10081,10081,10081,10081,10081,10072,10072,10072,10072,10072,10072,10072,10072,10072,10072,10067,10067,10067,10067,10067,10066,10066,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
43,43,1054,0.6712178,8.17397,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10049,10049,10048,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
44,44,1001,5.658256,9.231862,1001,1001,1001,1001,1001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10000
45,45,1004,0.58646303,9.196821,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,10004,10002,10000
46,46,1001,5.144207,8.681386,1001,1001,1001,1001,1001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10000
47,47,1004,0.83867925,10.367964,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,10004,10002,10000
48,48,1047,2.5713265,8.808152,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
49,49,1006,2.0258155,3.633644,10006,10006,10006,10006,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10002,10000
50,50,1024,2.802966,9.319271,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
51,51,1062,0.6499695,8.030042,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,10057,10057,10057,10057,10057,10057,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10049,10049,10048,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
52,52,1050,-0.5221257,6.25014,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,10050,10050,10050,10048,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
53,53,1079,1.4214172,6.584962,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,10075,10075,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
54,54,1051,-1.6691616,6.8768425,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
55,55,1001,5.4757576,8.529596,1001,1001,1001,1001,1001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10000
56,56,1079,1.2223237,7.1695347,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,10075,10075,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
57,57,1043,-1.0710378,4.904113,1043,1043,1043,1043,1043,1043,1043,10037,10037,10037,10037,10037,10037,10037,10033,10033,10033,10033,10033,10033,10033,10033,10031,10031,10031,10031,10031,10030,10027,10027,10027,10026,10026,10026,10026,10026,10026,10026,10026,10018,10018,10018,10018,10015,10012,10004,10002,10000
58,58,1001,5.1449594,9.3582115,1001,1001,1001,1001,1001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10000
59,59,1008,6.514029,9.676056,1008,1008,1008,1008,1008,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10000
60,60,1000,2.9402237,9.527593,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,10000
61,61,1080,3.1054778,8.0246525,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,10080,10080,10080,10075,10075,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
62,62,1047,2.5180526,8.804292,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
63,63,1000,2.2820287,9.995784,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,10000
64,64,1024,2.663485,6.075061,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
65,65,1033,-0.9036479,4.2339077,1033,1033,1033,1033,1033,1033,1033,1033,1033,1033,1033,1033,1033,1033,10033,10033,10033,10033,10033,10033,10033,10033,10031,10031,10031,10031,10031,10030,10027,10027,10027,10026,10026,10026,10026,10026,10026,10026,10026,10018,10018,10018,10018,10015,10012,10004,10002,10000
66,66,1024,2.7258804,9.06248,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
67,67,1024,3.0712025,9.139458,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
68,68,1004,-0.96987325,6.3967247,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,10004,10002,10000
69,69,1045,-1.3156574,9.711997,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
70,70,1072,-1.7085918,8.477415,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,10072,10072,10072,10072,10072,10072,10072,10072,10072,10072,10067,10067,10067,10067,10067,10066,10066,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
